,betw cen e-plv beta,clust coef e-icoh theta,clust coef e-plv alpha,clust coef e-plv beta,clust coef e-plv delta,clust coef e-plv theta,life time delta,microstate D,node str e-icoh theta,node str e-plv alpha,node str e-plv beta,node str e-plv delta,node str e-plv theta,skewness ampl delta,waiting time delta
betw cen e-plv beta_T7,1.0,0.264,0.464,0.989,0.072,0.172,0.667,0.005,0.359,0.45,0.401,0.047,0.153,0.688,0.42
clust coef e-icoh theta_O1,0.264,1.0,0.0,0.953,0.546,0.0,0.0,0.0,0.0,0.0,0.076,0.75,0.007,0.0,0.074
clust coef e-plv alpha_Fp2,0.464,0.0,1.0,0.0,0.109,0.0,0.001,0.0,0.0,0.0,0.0,0.105,0.0,0.0,0.295
clust coef e-plv beta_Fp2,0.989,0.953,0.0,1.0,0.0,0.0,0.131,0.005,0.849,0.0,0.0,0.0,0.0,0.268,0.584
clust coef e-plv delta_F1,0.072,0.546,0.109,0.0,1.0,0.0,0.775,0.033,0.556,0.042,0.243,0.0,0.0,0.118,0.346
clust coef e-plv theta_Fp2,0.172,0.0,0.0,0.0,0.0,1.0,0.394,0.0,0.0,0.0,0.001,0.0,0.0,0.369,0.316
life time delta_P6,0.667,0.0,0.001,0.131,0.775,0.394,1.0,0.017,0.0,0.006,0.759,0.869,0.588,0.0,0.0
microstate D_Group1_Map4_MeanDur,0.005,0.0,0.0,0.005,0.033,0.0,0.017,1.0,0.0,0.0,0.372,0.06,0.006,0.361,0.028
node str e-icoh theta_O1,0.359,0.0,0.0,0.849,0.556,0.0,0.0,0.0,1.0,0.0,0.075,0.639,0.024,0.0,0.059
node str e-plv alpha_Fp2,0.45,0.0,0.0,0.0,0.042,0.0,0.006,0.0,0.0,1.0,0.003,0.025,0.0,0.001,0.315
node str e-plv beta_POz,0.401,0.076,0.0,0.0,0.243,0.001,0.759,0.372,0.075,0.003,1.0,0.476,0.01,0.111,0.143
node str e-plv delta_F1,0.047,0.75,0.105,0.0,0.0,0.0,0.869,0.06,0.639,0.025,0.476,1.0,0.0,0.215,0.629
node str e-plv theta_Fp2,0.153,0.007,0.0,0.0,0.0,0.0,0.588,0.006,0.024,0.0,0.01,0.0,1.0,0.653,0.338
skewness ampl delta_CP1,0.688,0.0,0.0,0.268,0.118,0.369,0.0,0.361,0.0,0.001,0.111,0.215,0.653,1.0,0.017
waiting time delta_FC4,0.42,0.074,0.295,0.584,0.346,0.316,0.0,0.028,0.059,0.315,0.143,0.629,0.338,0.017,1.0
