,Cvlt attention span,Cvlt delayed memory,Pts-2 subtest 3,Rwt animal categories,Rwt s words,Tap alertness,Tap simon congruent,Tap simon incongruent,Tap working memory,Tmt-A,Tmt-B,Vocabulary test
ampl total power alpha,0.0 (0.0),0.01 (0.04),0.08 (0.48),0.06 (0.2),0.41 (0.34),0.0 (0.01),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.14 (0.18),0.0 (0.04)
ampl total power beta,0.05 (0.09),0.0 (0.0),0.0 (0.06),0.36 (0.4),0.09 (0.08),0.0 (0.0),0.07 (0.11),0.02 (0.04),0.0 (0.0),0.0 (0.01),0.11 (0.1),0.0 (0.03)
ampl total power delta,0.0 (0.06),0.0 (0.02),0.0 (0.05),0.05 (0.11),0.07 (0.12),0.0 (0.64),0.0 (0.05),0.0 (0.2),0.0 (0.0),0.0 (0.01),0.06 (0.14),0.52 (0.33)
ampl total power gamma,0.17 (0.14),0.0 (0.54),0.0 (0.0),0.0 (0.33),0.04 (0.1),0.0 (0.0),0.02 (0.08),0.0 (0.02),0.0 (0.0),0.0 (0.03),0.09 (0.14),0.12 (0.2)
ampl total power theta,0.0 (0.01),0.0 (0.0),0.08 (0.12),0.06 (0.18),0.4 (0.76),0.0 (0.0),0.0 (0.0),0.0 (0.01),0.0 (0.0),0.0 (0.01),0.06 (0.08),0.01 (0.22)
approx entropy,0.0 (0.24),0.45 (0.69),0.18 (0.12),0.53 (0.16),0.25 (0.39),0.0 (0.29),0.0 (0.0),0.17 (0.24),0.31 (0.13),0.0 (0.09),0.17 (0.34),0.04 (0.07)
betw cen e-icoh alpha,0.39 (0.26),0.0 (0.0),0.23 (0.41),0.4 (0.72),0.0 (0.29),0.0 (0.0),0.0 (0.0),0.0 (0.03),0.0 (0.0),0.0 (0.17),0.0 (0.0),0.0 (0.0)
betw cen e-icoh beta,0.0 (0.0),0.0 (0.0),0.14 (0.35),0.0 (0.0),0.0 (0.0),0.15 (0.34),0.35 (0.56),0.56 (0.57),0.49 (0.57),0.14 (0.36),0.0 (0.0),0.0 (0.0)
betw cen e-icoh delta,0.6 (0.28),0.03 (0.23),0.0 (0.0),0.69 (0.29),0.0 (0.05),0.47 (0.35),0.06 (0.11),0.2 (0.75),0.28 (0.35),0.0 (0.0),0.0 (0.08),0.0 (0.14)
betw cen e-icoh gamma,0.04 (0.15),0.23 (0.3),0.09 (0.17),0.0 (0.03),0.0 (0.0),0.0 (0.0),0.0 (0.05),0.0 (0.05),0.0 (0.19),0.0 (0.01),0.2 (0.36),0.0 (0.53)
