,Cvlt attention span,Cvlt delayed memory,Pts-2 subtest 3,Rwt animal categories,Rwt s words,Tap alertness,Tap simon congruent,Tap simon incongruent,Tap working memory,Tmt-A,Tmt-B,Vocabulary test
ampl total power alpha,0.78 (0.08),0.8 (0.08),0.79 (0.07),0.83 (0.08),0.75 (0.09),0.79 (0.09),0.83 (0.09),0.79 (0.06),0.78 (0.05),0.82 (0.08),0.81 (0.07),0.81 (0.07)
ampl total power beta,0.79 (0.08),0.82 (0.09),0.76 (0.09),0.84 (0.04),0.8 (0.11),0.82 (0.07),0.84 (0.06),0.83 (0.04),0.82 (0.05),0.81 (0.08),0.81 (0.08),0.82 (0.08)
ampl total power delta,0.81 (0.09),0.8 (0.08),0.82 (0.03),0.79 (0.09),0.81 (0.1),0.81 (0.07),0.84 (0.08),0.82 (0.06),0.82 (0.06),0.82 (0.06),0.82 (0.1),0.83 (0.06)
ampl total power gamma,0.85 (0.04),0.82 (0.09),0.78 (0.12),0.81 (0.1),0.81 (0.1),0.81 (0.08),0.83 (0.06),0.81 (0.05),0.8 (0.07),0.81 (0.08),0.79 (0.09),0.82 (0.08)
ampl total power theta,0.73 (0.11),0.78 (0.08),0.82 (0.06),0.8 (0.1),0.81 (0.08),0.81 (0.06),0.82 (0.07),0.8 (0.06),0.8 (0.05),0.79 (0.06),0.77 (0.12),0.8 (0.08)
approx entropy,0.83 (0.06),0.83 (0.06),0.81 (0.07),0.82 (0.06),0.83 (0.07),0.81 (0.08),0.84 (0.07),0.79 (0.05),0.82 (0.06),0.82 (0.07),0.81 (0.08),0.84 (0.04)
betw cen e-icoh alpha,0.82 (0.09),0.81 (0.08),0.83 (0.08),0.85 (0.05),0.83 (0.09),0.82 (0.07),0.84 (0.06),0.82 (0.05),0.82 (0.06),0.83 (0.06),0.8 (0.08),0.81 (0.08)
betw cen e-icoh beta,0.68 (0.2),0.62 (0.14),0.77 (0.19),0.78 (0.17),0.69 (0.15),0.82 (0.11),0.83 (0.08),0.83 (0.08),0.84 (0.06),0.78 (0.14),0.72 (0.19),0.73 (0.2)
betw cen e-icoh delta,0.82 (0.07),0.81 (0.07),0.81 (0.06),0.85 (0.05),0.83 (0.03),0.85 (0.04),0.84 (0.06),0.84 (0.05),0.84 (0.04),0.82 (0.07),0.83 (0.05),0.83 (0.05)
betw cen e-icoh gamma,0.77 (0.12),0.55 (0.18),0.59 (0.23),0.61 (0.24),0.56 (0.13),0.5 (0.08),0.77 (0.11),0.72 (0.11),0.76 (0.32),0.75 (0.11),0.69 (0.13),0.73 (0.23)
betw cen e-icoh theta,0.82 (0.07),0.81 (0.07),0.83 (0.07),0.84 (0.06),0.84 (0.04),0.82 (0.06),0.85 (0.06),0.81 (0.07),0.83 (0.05),0.83 (0.05),0.83 (0.05),0.84 (0.05)
betw cen e-plv alpha,0.83 (0.06),0.85 (0.07),0.83 (0.05),0.83 (0.1),0.83 (0.07),0.82 (0.04),0.84 (0.07),0.82 (0.05),0.82 (0.05),0.82 (0.06),0.79 (0.08),0.84 (0.05)
betw cen e-plv beta,0.82 (0.06),0.83 (0.06),0.83 (0.08),0.83 (0.05),0.81 (0.08),0.83 (0.06),0.84 (0.06),0.83 (0.05),0.82 (0.04),0.81 (0.05),0.82 (0.06),0.82 (0.07)
betw cen e-plv delta,0.82 (0.1),0.83 (0.08),0.82 (0.08),0.83 (0.07),0.83 (0.08),0.83 (0.05),0.84 (0.05),0.81 (0.05),0.82 (0.06),0.83 (0.04),0.79 (0.09),0.83 (0.06)
betw cen e-plv gamma,0.8 (0.08),0.84 (0.04),0.83 (0.04),0.82 (0.06),0.8 (0.08),0.82 (0.06),0.84 (0.06),0.83 (0.05),0.84 (0.06),0.82 (0.07),0.82 (0.05),0.82 (0.09)
betw cen e-plv theta,0.81 (0.07),0.84 (0.06),0.85 (0.03),0.84 (0.05),0.8 (0.07),0.84 (0.04),0.84 (0.06),0.82 (0.07),0.83 (0.06),0.85 (0.03),0.83 (0.06),0.84 (0.04)
betw cen e-wpli alpha,0.83 (0.04),0.8 (0.06),0.82 (0.08),0.84 (0.05),0.81 (0.07),0.83 (0.05),0.84 (0.06),0.83 (0.05),0.83 (0.05),0.85 (0.03),0.83 (0.05),0.82 (0.06)
betw cen e-wpli beta,0.83 (0.06),0.82 (0.07),0.82 (0.07),0.84 (0.06),0.84 (0.05),0.82 (0.06),0.86 (0.06),0.82 (0.07),0.84 (0.06),0.83 (0.05),0.83 (0.06),0.81 (0.08)
betw cen e-wpli delta,0.82 (0.05),0.83 (0.07),0.81 (0.07),0.85 (0.04),0.83 (0.07),0.84 (0.05),0.84 (0.06),0.82 (0.05),0.82 (0.06),0.84 (0.06),0.83 (0.05),0.82 (0.06)
betw cen e-wpli gamma,0.81 (0.06),0.84 (0.05),0.83 (0.06),0.83 (0.05),0.84 (0.06),0.83 (0.05),0.84 (0.07),0.82 (0.05),0.82 (0.05),0.82 (0.04),0.82 (0.06),0.83 (0.06)
betw cen e-wpli theta,0.83 (0.06),0.82 (0.05),0.84 (0.05),0.84 (0.05),0.83 (0.05),0.82 (0.07),0.84 (0.06),0.83 (0.05),0.84 (0.06),0.84 (0.05),0.82 (0.05),0.85 (0.06)
betw cen s-lcoh alpha,0.79 (0.14),0.79 (0.09),0.81 (0.06),0.77 (0.15),0.84 (0.06),0.84 (0.07),0.84 (0.07),0.81 (0.08),0.83 (0.08),0.78 (0.11),0.82 (0.07),0.78 (0.15)
betw cen s-lcoh beta,0.82 (0.07),0.81 (0.07),0.81 (0.09),0.85 (0.04),0.83 (0.06),0.82 (0.07),0.85 (0.07),0.82 (0.06),0.83 (0.04),0.83 (0.04),0.82 (0.1),0.83 (0.04)
betw cen s-lcoh delta,0.79 (0.12),0.79 (0.1),0.79 (0.15),0.77 (0.17),0.75 (0.12),0.81 (0.1),0.85 (0.06),0.83 (0.05),0.84 (0.06),0.82 (0.07),0.83 (0.09),0.83 (0.06)
betw cen s-lcoh gamma,0.81 (0.09),0.81 (0.08),0.8 (0.06),0.84 (0.05),0.82 (0.1),0.83 (0.1),0.84 (0.07),0.82 (0.03),0.83 (0.06),0.81 (0.08),0.82 (0.06),0.82 (0.08)
betw cen s-lcoh theta,0.74 (0.1),0.82 (0.07),0.81 (0.1),0.81 (0.12),0.84 (0.08),0.82 (0.05),0.84 (0.07),0.82 (0.05),0.82 (0.05),0.82 (0.05),0.83 (0.05),0.77 (0.12)
betw cen s-lps alpha,0.82 (0.08),0.81 (0.06),0.82 (0.08),0.81 (0.09),0.83 (0.09),0.84 (0.04),0.85 (0.07),0.83 (0.06),0.84 (0.04),0.83 (0.06),0.83 (0.08),0.83 (0.05)
betw cen s-lps beta,0.82 (0.07),0.81 (0.05),0.82 (0.07),0.84 (0.06),0.8 (0.08),0.82 (0.06),0.83 (0.07),0.82 (0.06),0.83 (0.05),0.84 (0.04),0.84 (0.05),0.81 (0.08)
betw cen s-lps delta,0.79 (0.07),0.81 (0.08),0.81 (0.09),0.81 (0.09),0.81 (0.09),0.83 (0.05),0.86 (0.06),0.82 (0.06),0.84 (0.06),0.83 (0.06),0.81 (0.09),0.84 (0.05)
betw cen s-lps gamma,0.85 (0.05),0.84 (0.05),0.8 (0.07),0.83 (0.06),0.82 (0.08),0.84 (0.04),0.85 (0.06),0.82 (0.05),0.84 (0.06),0.82 (0.08),0.84 (0.04),0.83 (0.05)
betw cen s-lps theta,0.83 (0.06),0.82 (0.05),0.81 (0.07),0.82 (0.06),0.83 (0.05),0.83 (0.08),0.85 (0.07),0.82 (0.04),0.84 (0.06),0.82 (0.04),0.82 (0.06),0.83 (0.06)
clust coef e-icoh alpha,0.83 (0.05),0.82 (0.05),0.81 (0.1),0.81 (0.1),0.84 (0.06),0.81 (0.07),0.84 (0.07),0.81 (0.07),0.82 (0.06),0.8 (0.08),0.8 (0.07),0.81 (0.05)
clust coef e-icoh beta,0.78 (0.08),0.82 (0.07),0.8 (0.08),0.81 (0.1),0.8 (0.07),0.84 (0.05),0.8 (0.07),0.81 (0.07),0.83 (0.05),0.84 (0.05),0.81 (0.08),0.81 (0.07)
clust coef e-icoh delta,0.78 (0.09),0.81 (0.08),0.78 (0.09),0.82 (0.06),0.84 (0.05),0.83 (0.04),0.85 (0.07),0.83 (0.05),0.84 (0.05),0.83 (0.05),0.8 (0.08),0.82 (0.07)
clust coef e-icoh gamma,0.77 (0.09),0.82 (0.09),0.81 (0.07),0.81 (0.07),0.82 (0.07),0.79 (0.07),0.84 (0.06),0.8 (0.07),0.82 (0.05),0.83 (0.06),0.82 (0.07),0.81 (0.08)
clust coef e-icoh theta,0.79 (0.08),0.82 (0.07),0.82 (0.04),0.8 (0.08),0.81 (0.09),0.81 (0.07),0.79 (0.08),0.81 (0.04),0.81 (0.06),0.82 (0.06),0.78 (0.08),0.82 (0.07)
clust coef e-plv alpha,0.82 (0.08),0.85 (0.06),0.81 (0.07),0.82 (0.07),0.85 (0.07),0.8 (0.07),0.85 (0.08),0.8 (0.08),0.81 (0.06),0.81 (0.05),0.77 (0.08),0.81 (0.06)
clust coef e-plv beta,0.79 (0.09),0.83 (0.05),0.84 (0.07),0.81 (0.07),0.81 (0.07),0.82 (0.05),0.83 (0.07),0.82 (0.07),0.82 (0.06),0.81 (0.08),0.82 (0.07),0.82 (0.07)
clust coef e-plv delta,0.81 (0.09),0.84 (0.06),0.8 (0.11),0.83 (0.09),0.83 (0.06),0.81 (0.06),0.86 (0.08),0.82 (0.07),0.81 (0.06),0.8 (0.07),0.8 (0.09),0.84 (0.04)
