,Cvlt attention span,Cvlt delayed memory,Pts-2 subtest 3,Rwt animal categories,Rwt s words,Tap simon congruent,Tap simon incongruent,Tap working memory,Tmt-A,Tmt-B,Vocabulary test,median
PC 1,0.09,0.05,-0.01,0.15,0.1,0.11,0.15,0.17,0.21,0.22,0.18,0.15
PC 1-2,0.09,0.11,0.17,0.26,0.1,0.11,0.14,0.18,0.2,0.23,0.19,0.17
PC 1-3,0.11,0.32,,0.26,0.22,0.13,0.14,0.21,0.27,0.22,0.18,0.21
PC 1-4,0.14,0.32,,0.25,0.24,0.12,0.14,0.21,0.35,0.25,0.18,0.22
PC 1-5,0.14,0.32,,0.25,0.24,0.12,0.14,0.23,0.34,0.25,0.18,0.23
PC 1-6,0.13,0.32,,0.25,0.24,0.13,0.14,0.23,0.36,0.25,,0.24
PC 1-7,0.16,0.33,,0.24,0.28,0.12,,0.22,0.35,0.24,,0.24
PC 1-8,0.15,,,,0.28,,,0.22,0.35,0.24,,0.24
PC 1-9,0.16,,,,,,,0.23,0.35,0.24,,0.23
PC 1-10,0.17,,,,,,,0.25,0.36,0.23,,0.24
PC 1-11,0.16,,,,,,,0.25,0.36,0.23,,0.24
PC 1-12,0.15,,,,,,,0.24,0.35,,,0.24
PC 1-13,0.16,,,,,,,0.24,0.35,,,0.24
PC 1-14,0.16,,,,,,,0.23,0.35,,,0.23
PC 1-15,0.16,,,,,,,0.27,0.37,,,0.27
PC 1-16,0.15,,,,,,,0.29,0.36,,,0.29
PC 1-17,0.16,,,,,,,0.29,0.36,,,0.29
PC 1-18,0.16,,,,,,,0.29,0.36,,,0.29
PC 1-19,0.16,,,,,,,,0.36,,,0.26
