features,selected_ch,pvalues,z_stat,r_stat,rcil_stat,rcih_stat
ampl total power alpha.csv,59,0.047210865,3.31193447,0.233605846,0.09,0.37
ampl total power beta.csv,49,0.004077954,-3.839961907,0.27085003,0.11,0.4
ampl total power delta.csv,5,8.58E-10,6.757182798,0.476614926,0.36,0.58
ampl total power gamma.csv,48,4.57E-07,-5.77954784,0.407657873,0.27,0.52
ampl total power theta.csv,59,0.020432525,3.40603837,0.240243423,0.1,0.37
approx entropy.csv,51,5.42E-14,8.048497422,0.567697237,0.47,0.65
betw cen e-icoh alpha.csv,61,0.016748866,3.638179935,0.256617427,0.12,0.38
betw cen e-icoh beta.csv,14,0.265463923,2.642171725,0.186364424,0.07,0.3
betw cen e-icoh delta.csv,56,0.018358277,3.431867676,0.242065282,0.09,0.38
betw cen e-icoh gamma.csv,24,0.469476061,2.665109366,0.187982321,0.08,0.3
betw cen e-icoh theta.csv,26,0.051279068,3.339054578,0.235518751,0.12,0.35
betw cen e-plv alpha.csv,35,0.007352879,-3.720909066,0.26245269,0.13,0.39
betw cen e-plv beta.csv,11,0.038849565,-3.415402559,0.240903922,0.1,0.37
betw cen e-plv delta.csv,33,2.09E-05,5.097962488,0.359582549,0.24,0.48
betw cen e-plv gamma.csv,7,0.195159268,-2.748502147,0.193864394,0.06,0.33
betw cen e-plv theta.csv,58,0.156579986,3.015343342,0.212685921,0.08,0.33
betw cen e-wpli alpha.csv,13,0.24025501,2.883037403,0.203353779,0.07,0.33
betw cen e-wpli beta.csv,9,0.422142558,2.445536328,0.172494833,0.04,0.31
betw cen e-wpli delta.csv,13,0.270482186,2.845502999,0.200706306,0.07,0.32
betw cen e-wpli gamma.csv,5,0.139050469,2.960726893,0.208833573,0.07,0.34
betw cen e-wpli theta.csv,61,0.303223003,2.678255868,0.188909603,0.05,0.31
betw cen s-lcoh alpha.csv,6,0.006175675,-3.952942687,0.278819079,0.11,0.43
betw cen s-lcoh beta.csv,22,0.063624221,-3.354424417,0.236602856,0.1,0.37
betw cen s-lcoh delta.csv,28,0.209559969,2.786739287,0.196561434,0.08,0.31
betw cen s-lcoh gamma.csv,7,0.06978973,3.328748433,0.234791811,0.1,0.36
betw cen s-lcoh theta.csv,21,0.102809373,3.219282709,0.227070695,0.09,0.35
betw cen s-lps alpha.csv,59,0.45357451,2.732862779,0.192761278,0.05,0.33
betw cen s-lps beta.csv,75,0.026101753,-3.593495,0.253465594,0.11,0.4
betw cen s-lps delta.csv,18,0.022298076,3.377123776,0.238203945,0.1,0.37
betw cen s-lps gamma.csv,14,0.099650019,3.228221407,0.227701182,0.09,0.35
betw cen s-lps theta.csv,37,0.025220773,-3.602427237,0.254095626,0.13,0.38
clust coef e-icoh alpha.csv,17,0.55738973,2.174845682,0.153401787,0.01,0.3
clust coef e-icoh beta.csv,52,0.99165748,2.099039763,0.148054849,0.02,0.28
clust coef e-icoh delta.csv,56,0.001621666,-4.190237534,0.295556567,0.16,0.42
clust coef e-icoh gamma.csv,52,0.359547976,2.334299512,0.164648793,0.03,0.31
clust coef e-icoh theta.csv,17,0.329074677,2.478069359,0.174789536,0.04,0.32
clust coef e-plv alpha.csv,7,0.05651848,3.31193447,0.233605846,0.09,0.37
clust coef e-plv beta.csv,49,0.000102325,-4.788842896,0.337778934,0.21,0.46
